publication_number,title,abstract
US-4082258-A,Drive speed control apparatus for cloth spreading machine,"A motor-driven cloth spreading machine having a speed control apparatus manually operated by a rotary elongated control shaft having radial handle means for rotating the control shaft. 
     The speed control apparatus may also include a trip lever operatively connected to the control shaft and adapted to counter-rotate the control shaft to reduce the speed of the machine when the trip lever engages a tripping device at a predetermined station in the path of the spreading machine."
US-5406137-A,Circuit arrangement for evaluating the signal of a capacitive measuring sensor,"A capacitive humidity sensor circuit in which a one-shot circuit produces pulses having a pulse duration determined by the capacitance of a capacitive sensing element, the one-shot circuit being triggered by the trailing edges of pulses in a pulse train produced by a multivibrator. The multivibrator is adjustable to produce a pulse train of variable repetition rate independent of the value of the measured parameter. The pulses produced by the one-shot circuit are integrated to produce a voltage indicative of the time average value of the pulses, the voltage being supplied to an amplification and offset compensation circuit whose output signal is used to adjust the supply voltage to the multivibrator so as to effectively achieve compensation for nonlinear response of the capacitive sensing element to increasing relative humidity."
US-5407430-A,Intravenous catheter,"An expandable intravenous catheter for the infusion of fluids into a blood vessel comprises a helically wound tube having a diameter that can be varied from a normal minimum diameter to a relatively larger diameter by axial movement of the ends of the tube relative to each other, after insertion of the catheter into the blood vessel."
US-2012192329-A1,Attachment System for Helmet,"An attachment system for attaching a mandible to a helmet. The system comprises a pair of attachment bases for holding a face shield to the helmet and for attaching to opposite sides of the helmet. The attachment bases each include a base plate covered by a body block. The base plate includes hooks for engaging an edge of the helmet. A strap assembly provides a pair of tightening straps, each engaging one attachment base. The tightening straps extend rearward and are connected together by a helmet band that extends over and around a portion of the helmet. The tightening straps each include a ratchet toothed strap body for adjusting a tension of the straps against the helmet."
US-8240171-B2,Glassware manufacturing method and machine,"A glassware manufacturing method and machine, whereby the inner surfaces of the molds of the various forming sections of the machine are treated using a common processing member, and the exhaust substances produced by the treatment are aspirated simultaneously with or at a predetermined time during the treatment by a suction device having at least one suction hood associated with the processing member."
US-8253563-B2,System and method for intrusion detection,"Present day intrusion detection systems frequently cause false alarms by mistaking occupants as intruders, and it is desirable to reduce such false alarms. This invention comprises a processor that employs various software algorithms. The processor receives signals over temporal periods and software algorithms statistically discern various activities, thereby reducing false alarms and detection failures. The software algorithms are adaptive to the level of detected activity such that a rate of false alarms may be predetermined. As such, the processor and software algorithms comprise an artificial intelligence system. This artificial intelligence system may be employed in intruder and vehicle alarm systems composed of a multiplicity of detectors and within such detectors. A second aspect of this invention is an improved infrasound detection method that may be employed in such artificial intelligence."
US-2006225858-A1,Process for making inoculation inserts,"A new process is described in which an inoculation insert is made of a mix of inoculant of ferroalloys, additive of cryolite and binder of polyvinyl butyral. All the materials state in form of dry and loose powder at room temperature. When heat is provided the binder will change thermally cured and set and make the mix agglomerated by chemical bonding. The insert proves excellent compression strength and surface hardness that can ease special handling care during transportation and storage. The insert may be an individual article or impregnated inside the open cells of ceramic filters as an assembly by virtues of a great deal of flexibility provided by the process to fit unique requirement of application. The consistency can be greatly increased with the insert located in the runner system of the mold that the molten metal, particularly iron, can be inoculated."
US-2006240152-A1,"Graphical indicator for determining an amount of a nutrional element consumed, removed, or remaining in a package","A food package and methods for its use. The package includes a food having a nutritional element and a graphical indicator including a graduated sequence of marks, including a first mark displaying an amount of the nutritional element in the food package when the food is level with the first mark and at least a second mark displaying a decreasing amount of the nutritional element in the food package when the food is level with the second mark."
US-7120104-B2,Equalizer for optical recording/reproducing apparatus and equalizing method thereof,"An equalizer and an equalizing method of optical recording/reproducing apparatus capable of enhancing equalizing performance and equalizing speed are disclosed. The equalizer includes a FF unit having a feedforward filter for removing pre-cursor from inter-symbol interference of input signal, a FB unit having a feedback filter for predicting post-cursor of the inter-symbol interference and outputting it, a first adder and a second adder for adding the signal from the FF unit and the signal from the FB unit, to remove the inter-symbol interference, a slicer for deciding the level of the signal from the first adder to be a predetermined level and feeding back the level-decided signal to the FB unit, and a signal detection unit for outputting the signal having the inter-symbol interference removed by the second adder as a predetermined signal using at least one of a trellis structure method and a tree structure method."
US-7123466-B2,Extended thin film capacitor (TFC),Extending high k material of a second dielectric layer to surround at least one thru-via designed to provide a signal other than a power signal to a die may eliminate discrete AC coupling capacitors to reduce cost and improve performance of the package.
